Territory,Total_Sales,Total_Sum_across_all_Territories,Ratio_for_Territory,Work_Load_Index
New Jersey N,21638,577538,0.037465933,2023.160381
"Los Angeles North, CA",18623,577538,0.032245497,1741.256852
"Tampa, FL",17961,577538,0.031099252,1679.359627
"Minneapolis N, MN",16365,577538,0.028335798,1530.133082
"San Antonio, TX",15178,577538,0.026280522,1419.148177
"New Haven, CT",14835,577538,0.025686621,1387.07756
"San Francisco N, CA",14291,577538,0.024744692,1336.213375
"Charlotte, NC",14212,577538,0.024607905,1328.826848
"Miami, FL",14135,577538,0.02447458,1321.627321
"Boston, MA",13666,577538,0.023662512,1277.775662
Chicago South,13442,577538,0.023274659,1256.831585
"Charleston, SC",13169,577538,0.022801963,1231.305992
"Denver, CO",12880,577538,0.022301563,1204.284393
"Detroit, MI",12720,577538,0.022024525,1189.324339
"Long Island, NY",12591,577538,0.021801163,1177.262795
"Kansas City, KS",12371,577538,0.021420236,1156.69272
Indiana,12278,577538,0.021259207,1147.997188
"Las Vegas, NV",11509,577538,0.019927693,1076.095426
"Bethesda, MD",11425,577538,0.019782248,1068.241397
"Philadelphia, PA",11333,577538,0.019622951,1059.639366
"San Diego, CA",11157,577538,0.019318209,1043.183306
"St. Louis, MO",11144,577538,0.0192957,1041.967801
"Cleveland, OH",10838,577538,0.018765865,1013.356697
"Nashville, TN",10653,577538,0.01844554,996.0591338
"Fort Worth, TX",10521,577538,0.018216983,983.7170887
Chicago North,10510,577538,0.018197937,982.688585
"Milwaukee, WI",10496,577538,0.018173696,981.3795802
"Roanoke, VA",10032,577538,0.017370286,937.9954219
"Pittsburgh, PA",9991,577538,0.017299295,934.161908
"Orlando, FL",9939,577538,0.017209257,929.2998902
"Columbus, OH",9821,577538,0.017004942,918.26685
"Jacksonville, FL",9545,577538,0.016527051,892.4607558
"Buffalo, NY",9523,577538,0.016488958,890.4037483
"Atlanta, GA",9406,577538,0.016286374,879.4642084
"Portland, ME",9146,577538,0.015836187,855.1541197
"Houston, TX",9054,577538,0.015676891,846.5520883
"Los Angeles South, CA",8618,577538,0.014921962,805.7859396
"Hudson Valley, NY",8612,577538,0.014911573,805.2249376
"Portland, OR",8375,577538,0.01450121,783.0653567
Kentucky,8214,577538,0.014222441,768.0118018
"Oklahoma City, OK",8139,577538,0.014092579,760.9992762
"Dallas, TX",8079,577538,0.01398869,755.3892558
"Seattle S, WA",7910,577538,0.013696068,739.5876981
"New Orleans, LA",7852,577538,0.013595642,734.1646783
"Baltimore, MD",7851,577538,0.013593911,734.071178
"Phoenix, AZ",7755,577538,0.013427688,725.0951453
"Cincinnati, OH",7083,577538,0.012264128,662.262916
"Birmingham, AL",7064,577538,0.01223123,660.4864096
"Madison, WI",7034,577538,0.012179285,657.6813993
"Richmond, VA",7023,577538,0.012160239,656.6528956
"Minneapolis S, MN",6897,577538,0.011942071,644.8718526
"Harrisburg, PA",6468,577538,0.011199263,604.7602063
"Seattle N, WA",5317,577538,0.009206321,497.1413136
"Manhattan, NY",2849,577538,0.004933009,266.3824718
,,,,
,577538,,,
